id,e2_1,e2_2,e2_3,e2_4,e2_5,e2_6,e2_7,e2_8,SMILES,pkbhx
id948,-0.07,0.04,0.6,0.76,-0.04,-0.57,-0.2,0.23,[cH:1]1[cH:1][cH:1][c:1]([cH:1][cH:1]1)C(c1ccccc1)c1ccccc1,-0.5
id949,0.03,0.15,0.21,0.41,-0.11,-0.24,-0.1,-0.07,[Cl:1]C1CCCCC1Cl,-0.5
id950,-0.43,-0.03,0.59,-0.08,-0.12,-0.13,-0.15,1.69,[cH:1]1[cH:1][cH:1]s[cH:1]1,-0.5
id951,-0.14,0.19,0.85,0.76,-0.17,-0.69,-0.4,0.82,S(c1ccccc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.51
id952,-0.08,0.07,0.26,0.21,-0.06,-0.16,-0.14,0.52,ClCCC[Cl:1],-0.51
id954,-1.07,0.08,2.1,0.99,-0.5,-1.25,-0.81,3.76,c1ccc(cc1)N=N[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.53
id955,-0.41,0.11,1.35,0.43,-0.11,-0.76,-0.51,3.1,C[Si](C)(C)[O:1][Si](C)(C)C,-0.53
id956,0.54,-0.04,-0.03,0.49,0.27,-0.12,-0.41,-0.76,c1cc[c:1]2[c:1](c1)[cH:1][cH:1][c:1]1cccc[c:1]21,-0.53
id957,0.1,0.29,0.16,0.25,-0.1,0.08,-0.03,-0.48,BrCCC[Br:1],-0.53
id958,-0.68,-0.09,1.17,0.19,-0.2,-0.87,-0.44,3.73,CC(C)(C)[c:1]1[cH:1][cH:1][cH:1][c:1](n1)C(C)(C)C,-0.54
id959,0.05,0.07,0.03,0.03,-0.05,0.01,0.05,-0.22,[S:1]=C=Nc1ccccc1,-0.55
id960,0.52,0.09,0.17,0.44,0.28,0.07,-0.39,-0.59,c1c[c:1]2[cH:1][cH:1][c:1]3cccc4ccc(c1)[c:1]2[c:1]34,-0.56
id961,0.08,0.19,0.65,0.92,-0.11,-0.79,-0.36,0.25,CC#C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.57
id962,0.05,0,0.53,0.77,0.08,-0.62,-0.3,-0.02,C#C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.6
id963,0.03,0.16,0.17,0.25,-0.11,-0.13,-0.09,0.08,CC(Cl)C[Cl:1],-0.61
id964,-0.02,0.11,0.23,0.26,-0.05,-0.1,-0.1,0,CC([Cl:1])CCl,-0.61
id965,0.04,0.14,0.16,0.26,-0.07,-0.12,-0.1,0.06,[Cl:1]CCCl,-0.61
id966,0.03,-0.01,0.23,0.45,0.11,-0.02,-0.15,-0.42,S=C=N[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.63
id967,0.39,0.24,-0.15,0.53,-0.01,-0.03,0.05,-1,[Br:1]CCBr,-0.63
id968,-0.99,-0.01,2.2,0.66,-0.42,-1.26,-0.76,4.5,[CH:1]#CCN(CC#C)CC#C,-0.64
id969,-0.38,-0.66,0.16,0.13,-0.19,-0.81,-0.21,-0.29,I[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.64
id970,0.02,-0.32,0.21,0.63,0.35,-0.38,-0.19,-0.11,Cl[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.65
id971,-0.04,-0.51,-0.3,-0.14,0.37,0.01,0.08,-0.25,[I:1]CCI,-0.65
id972,-0.12,-0.34,0.17,0.15,0.54,0.05,-0.12,-0.4,Br[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.66
id973,-0.3,0.05,0.74,0.12,-0.07,-0.31,-0.26,1.93,CCCCC[CH:1]=[CH2:1],-0.67
id974,-0.11,-0.16,0.1,0.1,0.3,0.19,0.09,-0.59,IC[I:1],-0.68
id975,0.75,0.19,-0.61,0.52,0.28,0.33,0.16,-1.96,BrC[Br:1],-0.7
id976,0.05,0.16,0.13,0.23,-0.08,-0.09,-0.09,-0.08,CC([Cl:1])Cl,-0.72
id977,-0.37,0.07,0.82,0.23,-0.16,-0.34,-0.29,1.81,C[C:1]1=[CH:1]CCCC1,-0.74
id978,-0.04,0.09,0.23,0.18,-0.07,-0.11,-0.1,0.3,ClCC(Cl)C[Cl:1],-0.76
id979,0.13,0.16,0.04,0.26,-0.02,-0.01,-0.03,-0.62,ClCC([Cl:1])CCl,-0.76
id980,-0.5,-0.01,0.97,0.48,-0.28,-0.79,-0.36,1.99,[O:1](c1ccccc1)c1ccccc1,-0.8
id981,0.18,0.14,-0.06,0.21,-0.01,0.01,-0.01,-0.68,ClC[Cl:1],-0.8
id982,-0.38,0.04,0.78,0.23,-0.15,-0.32,-0.27,1.7,C1CC[CH:1]=[CH:1]C1,-0.82
id983,-0.4,0.03,0.75,0.1,-0.18,-0.34,-0.27,1.77,C[C:1](C)=[C:1](C)C,-0.85
id984,-0.37,0,0.78,0.46,-0.19,-0.59,-0.32,1.46,C1C=CC[CH:1]=[CH:1]1,-0.88
id985,0.03,0.18,0.19,0.19,-0.06,-0.01,-0.09,-0.12,[Br:1]c1ccccc1,-0.92
id987,-0.11,0.21,0.84,0.74,-0.14,-0.67,-0.39,0.72,[S:1](c1ccccc1)c1ccccc1,-0.93
id988,-0.26,-0.08,0.54,0.03,0.15,0.14,-0.08,0.72,[OH:1]C(C(F)(F)F)C(F)(F)F,-0.96
id989,-0.16,0.06,0.39,0.31,-0.11,-0.28,-0.18,0.53,[Cl:1]c1ccccc1,-1.02
id990,0.52,0.06,-0.46,0.41,0.22,0.02,0.01,-1.26,CC([Cl:1])(Cl)Cl,-1.15
id991,-0.19,0.01,0.68,0.7,-0.23,-0.94,-0.33,1.08,C[O:1]c1cc(C)ccc1C(C)(C)C,-1.44
id992,-0.68,0.05,1.64,0.85,-0.48,-1.52,-0.66,3.42,C([N:1](Cc1ccccc1)Cc1ccccc1)c1ccccc1,-1.5
id993,-0.39,0.03,0.86,0.55,-0.2,-0.64,-0.34,1.68,C1c2ccccc2[O:1]c2ccccc12,-1.71
